Date : 2024-12-03 23:12:51
Directory : c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria
Total : 107 files,  4318 codes, 86 comments, 946 blanks, all 5350 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         98 |      4,046 |         86 |        917 |      5,049 |
| XML      |          6 |        167 |          0 |         15 |        182 |
| Python   |          2 |        102 |          0 |         14 |        116 |
| Markdown |          1 |          3 |          0 |          0 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                         |        107 |      4,318 |         86 |        946 |      5,350 |
| . (Files)                                                                                                                                                                 |          2 |         33 |          0 |          1 |         34 |
| demo                                                                                                                                                                      |        105 |      4,285 |         86 |        945 |      5,316 |
| demo (Files)                                                                                                                                                              |          1 |         81 |          0 |          2 |         83 |
| demo\src                                                                                                                                                                  |         52 |      2,528 |         86 |        875 |      3,489 |
| demo\src\main                                                                                                                                                             |         45 |      2,240 |         86 |        762 |      3,088 |
| demo\src\main\java                                                                                                                                                        |         43 |      2,212 |         86 |        756 |      3,054 |
| demo\src\main\java\pizzeria                                                                                                                                               |         43 |      2,212 |         86 |        756 |      3,054 |
| demo\src\main\java\pizzeria (Files)                                                                                                                                       |          5 |        436 |          4 |         98 |        538 |
| demo\src\main\java\pizzeria\Controller                                                                                                                                    |         16 |        912 |         70 |        349 |      1,331 |
| demo\src\main\java\pizzeria\Controller (Files)                                                                                                                            |          4 |        123 |         68 |         67 |        258 |
| demo\src\main\java\pizzeria\Controller\dao                                                                                                                                |         12 |        789 |          2 |        282 |      1,073 |
| demo\src\main\java\pizzeria\Controller\dao (Files)                                                                                                                        |          6 |         58 |          0 |         51 |        109 |
| demo\src\main\java\pizzeria\Controller\dao\impl                                                                                                                           |          6 |        731 |          2 |        231 |        964 |
| demo\src\main\java\pizzeria\Exceptions                                                                                                                                    |          1 |          6 |          0 |          3 |          9 |
| demo\src\main\java\pizzeria\Modelo                                                                                                                                        |         20 |        698 |         12 |        279 |        989 |
| demo\src\main\java\pizzeria\utils                                                                                                                                         |          1 |        160 |          0 |         27 |        187 |
| demo\src\main\resources                                                                                                                                                   |          2 |         28 |          0 |          6 |         34 |
| demo\src\main\resources\pizzeria                                                                                                                                          |          2 |         28 |          0 |          6 |         34 |
| demo\src\test                                                                                                                                                             |          7 |        288 |          0 |        113 |        401 |
| demo\src\test\java                                                                                                                                                        |          7 |        288 |          0 |        113 |        401 |
| demo\src\test\java\pizzeria                                                                                                                                               |          7 |        288 |          0 |        113 |        401 |
| demo\src\test\java\pizzeria\controller                                                                                                                                    |          7 |        288 |          0 |        113 |        401 |
| demo\src\test\java\pizzeria\controller (Files)                                                                                                                            |          2 |         93 |          0 |         31 |        124 |
| demo\src\test\java\pizzeria\controller\dao                                                                                                                                |          5 |        195 |          0 |         82 |        277 |
| demo\src\test\java\pizzeria\controller\dao\impl                                                                                                                           |          5 |        195 |          0 |         82 |        277 |
| demo\target                                                                                                                                                               |         52 |      1,676 |          0 |         68 |      1,744 |
| demo\target\classes                                                                                                                                                       |         45 |      1,545 |          0 |         68 |      1,613 |
| demo\target\classes\pizzeria                                                                                                                                              |         45 |      1,545 |          0 |         68 |      1,613 |
| demo\target\classes\pizzeria (Files)                                                                                                                                      |          7 |        216 |          0 |         19 |        235 |
